AIPGENE18608	ko04142 Lysosome
AIPGENE15021	ko00830 Retinol metabolism
AIPGENE11052	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
AIPGENE20371	ko03022 Basal transcription factors;ko05016 Huntington's disease
AIPGENE6490	ko00100 Steroid biosynthesis;ko01070 Biosynthesis of plant hormones;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
AIPGENE11226	ko04144 Endocytosis
AIPGENE14571	ko04810 Regulation of actin cytoskeleton;ko04062 Chemokine signaling pathway;ko04670 Leukocyte transendothelial migration;ko04370 VEGF signaling pathway;ko04012 ErbB signaling pathway;ko04510 Focal adhesion;ko05200 Pathways in cancer;ko05222 Small cell lung cancer;ko04360 Axon guidance
AIPGENE4492	ko05414 Dilated cardiomyopathy;ko05410 Hypertrophic cardiomyopathy (HCM);ko05416 Viral myocarditis;ko05412 Arrhythmogenic right ventricular cardiomyopathy (ARVC)
AIPGENE4788	ko04146 Peroxisome;ko00565 Ether lipid metabolism
AIPGENE18696	ko04621 NOD-like receptor signaling pathway
AIPGENE7289	ko00140 Steroid hormone biosynthesis
AIPGENE8536	ko00230 Purine metabolism
AIPGENE17018	ko00270 Cysteine and methionine metabolism;ko00710 Carbon fixation in photosynthetic organisms;ko00350 Tyrosine metabolism;ko00950 Isoquinoline alkaloid biosynthesis;ko00360 Phenylalanine metabolism;ko00250 Alanine, aspartate and glutamate metabolism;ko00401 Novobiocin biosynthesis;ko00330 Arginine and proline metabolism;ko01061 Biosynthesis of phenylpropanoids;ko00400 Phenylalanine, tyrosine and tryptophan biosynthesis
AIPGENE3492	ko04722 Neurotrophin signaling pathway;ko05213 Endometrial cancer;ko04062 Chemokine signaling pathway;ko05223 Non-small cell lung cancer
AIPGENE1084	ko04144 Endocytosis
AIPGENE17821	ko04144 Endocytosis
AIPGENE11254	ko04270 Vascular smooth muscle contraction;ko00230 Purine metabolism
AIPGENE23868	ko04080 Neuroactive ligand-receptor interaction
AIPGENE26735	ko00670 One carbon pool by folate;ko00630 Glyoxylate and dicarboxylate metabolism
AIPGENE5013	ko04080 Neuroactive ligand-receptor interaction;ko04610 Complement and coagulation cascades
AIPGENE14572	ko04080 Neuroactive ligand-receptor interaction
AIPGENE20940	ko04920 Adipocytokine signaling pathway;ko00500 Starch and sucrose metabolism;ko00010 Glycolysis / Gluconeogenesis;ko00052 Galactose metabolism;ko04910 Insulin signaling pathway
AIPGENE9742	ko00051 Fructose and mannose metabolism
AIPGENE9734	ko04144 Endocytosis;ko04666 Fc gamma R-mediated phagocytosis
AIPGENE3601	ko03022 Basal transcription factors;ko03420 Nucleotide excision repair
AIPGENE12697	ko03018 RNA degradation
AIPGENE7048	ko00620 Pyruvate metabolism
AIPGENE18614	ko04020 Calcium signaling pathway
AIPGENE10928	ko04340 Hedgehog signaling pathway;ko05200 Pathways in cancer;ko05217 Basal cell carcinoma
AIPGENE10284	ko04512 ECM-receptor interaction;ko04510 Focal adhesion
AIPGENE28160	ko00330 Arginine and proline metabolism
AIPGENE21251	ko04080 Neuroactive ligand-receptor interaction
AIPGENE10707	ko00531 Glycosaminoglycan degradation
AIPGENE4131	ko04914 Progesterone-mediated oocyte maturation;ko04110 Cell cycle;ko04111 Cell cycle - yeast;ko04120 Ubiquitin mediated proteolysis
AIPGENE6559	ko00510 N-Glycan biosynthesis
AIPGENE6615	ko03040 Spliceosome
AIPGENE8337	ko03410 Base excision repair
AIPGENE28580	ko00564 Glycerophospholipid metabolism
AIPGENE23673	ko00100 Steroid biosynthesis;ko01070 Biosynthesis of plant hormones;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
AIPGENE14659	ko04622 RIG-I-like receptor signaling pathway
AIPGENE10596	ko00980 Metabolism of xenobiotics by cytochrome P450
AIPGENE18288	ko03040 Spliceosome
AIPGENE23478	ko00230 Purine metabolism
AIPGENE13579	ko04310 Wnt signaling pathway
AIPGENE10294	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
AIPGENE9529	ko04070 Phosphatidylinositol signaling system;ko04020 Calcium signaling pathway;ko00562 Inositol phosphate metabolism
AIPGENE5104	ko00310 Lysine degradation;ko00780 Biotin metabolism
AIPGENE16565	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
AIPGENE2252	ko04080 Neuroactive ligand-receptor interaction;ko05414 Dilated cardiomyopathy;ko04020 Calcium signaling pathway;ko04540 Gap junction;ko04144 Endocytosis
AIPGENE26560	ko04742 Taste transduction;ko04960 Aldosterone-regulated sodium reabsorption
AIPGENE11835	ko00760 Nicotinate and nicotinamide metabolism
AIPGENE25734	ko04320 Dorso-ventral axis formation
AIPGENE2185	ko04270 Vascular smooth muscle contraction
AIPGENE9894	ko00592 alpha-Linolenic acid metabolism;ko04912 GnRH signaling pathway;ko00565 Ether lipid metabolism;ko04370 VEGF signaling pathway;ko00564 Glycerophospholipid metabolism;ko00590 Arachidonic acid metabolism;ko04270 Vascular smooth muscle contraction;ko04730 Long-term depression;ko00591 Linoleic acid metabolism;ko04664 Fc epsilon RI signaling pathway;ko04010 MAPK signaling pathway
