Spis5641 SpisGene5641	ko00510 N-Glycan biosynthesis
Spis3771.t1 SpisGene3771	ko00620 Pyruvate metabolism
Spis5145 SpisGene5145	ko03450 Non-homologous end-joining
Spis3867 SpisGene3867	ko04340 Hedgehog signaling pathway;ko05200 Pathways in cancer;ko05217 Basal cell carcinoma;ko04916 Melanogenesis;ko04310 Wnt signaling pathway
Spis25550 SpisGene25550	ko03010 Ribosome
Spis21063 SpisGene21063	ko04146 Peroxisome;ko00250 Alanine, aspartate and glutamate metabolism
Spis14049 SpisGene14049	ko04080 Neuroactive ligand-receptor interaction
Spis7560 SpisGene7560	ko04512 ECM-receptor interaction;ko04510 Focal adhesion;ko04350 TGF-beta signaling pathway
Spis12358 SpisGene12358	ko04514 Cell adhesion molecules (CAMs)
Spis9278 SpisGene9278	ko04060 Cytokine-cytokine receptor interaction;ko04350 TGF-beta signaling pathway
Spis16738 SpisGene16738	ko04512 ECM-receptor interaction
Spis22404 SpisGene22404	ko04621 NOD-like receptor signaling pathway;ko04722 Neurotrophin signaling pathway;ko04622 RIG-I-like receptor signaling pathway;ko04144 Endocytosis;ko05200 Pathways in cancer;ko04620 Toll-like receptor signaling pathway;ko05222 Small cell lung cancer;ko04120 Ubiquitin mediated proteolysis;ko04010 MAPK signaling pathway
Spis8104 SpisGene8104	ko04080 Neuroactive ligand-receptor interaction;ko04020 Calcium signaling pathway;ko04144 Endocytosis
Spis18633.t1 SpisGene18633	ko04013 MAPK signaling pathway - fly;ko04320 Dorso-ventral axis formation
Spis7507 SpisGene7507	ko04621 NOD-like receptor signaling pathway;ko05120 Epithelial cell signaling in Helicobacter pylori infection
Spis20845 SpisGene20845	ko05200 Pathways in cancer;ko05215 Prostate cancer;ko04810 Regulation of actin cytoskeleton;ko05218 Melanoma;ko04520 Adherens junction;ko04010 MAPK signaling pathway
Spis17708 SpisGene17708	ko00051 Fructose and mannose metabolism;ko00363 Bisphenol A degradation;ko00625 Tetrachloroethene degradation;ko00591 Linoleic acid metabolism;ko00650 Butanoate metabolism
Spis16383 SpisGene16383	ko05216 Thyroid cancer;ko05200 Pathways in cancer;ko04144 Endocytosis
Spis18887 SpisGene18887	ko04146 Peroxisome
Spis18014 SpisGene18014	ko04510 Focal adhesion;ko04670 Leukocyte transendothelial migration
Spis21710 SpisGene21710	ko04330 Notch signaling pathway
Spis25756.Novel SpisGene25756.Novel	ko04080 Neuroactive ligand-receptor interaction;ko04020 Calcium signaling pathway
Spis7285 SpisGene7285	ko03420 Nucleotide excision repair
Spis12908 SpisGene12908	ko04120 Ubiquitin mediated proteolysis
Spis13398.t1 SpisGene13398	ko04626 Plant-pathogen interaction
Spis18054 SpisGene18054	ko04146 Peroxisome
Spis12346 SpisGene12346	ko04950 Maturity onset diabetes of the young
Spis16072 SpisGene16072	ko00601 Glycosphingolipid biosynthesis - lacto and neolacto series;ko00603 Glycosphingolipid biosynthesis - globo series
Spis11147.t1 SpisGene11147	ko00230 Purine metabolism;ko03018 RNA degradation;ko00240 Pyrimidine metabolism
Spis18907 SpisGene18907	ko04621 NOD-like receptor signaling pathway
Spis2145 SpisGene2145	ko04722 Neurotrophin signaling pathway;ko04110 Cell cycle;ko05416 Viral myocarditis;ko04012 ErbB signaling pathway;ko05200 Pathways in cancer;ko04360 Axon guidance;ko05220 Chronic myeloid leukemia;ko05130 Pathogenic Escherichia coli infection
