Smic38442 SmicGene38442	ko00230 Purine metabolism
Smic42449 SmicGene42449	ko04110 Cell cycle;ko04113 Meiosis - yeast;ko04111 Cell cycle - yeast
Smic30805 SmicGene30805	ko00903 Limonene and pinene degradation;ko00363 Bisphenol A degradation;ko00626 Naphthalene and anthracene degradation;ko00632 Benzoate degradation via CoA ligation;ko00624 1- and 2-Methylnaphthalene degradation;ko00361 gamma-Hexachlorocyclohexane degradation
Smic19176 SmicGene19176	ko04144 Endocytosis
Smic17390 SmicGene17390	ko02010 ABC transporters
Smic22087 SmicGene22087	ko03040 Spliceosome
Smic25081 SmicGene25081	ko00903 Limonene and pinene degradation;ko00351 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
Smic6110 SmicGene6110	ko00230 Purine metabolism;ko00240 Pyrimidine metabolism;ko05016 Huntington's disease;ko03020 RNA polymerase
Smic12787 SmicGene12787	ko04270 Vascular smooth muscle contraction;ko00230 Purine metabolism;ko04730 Long-term depression;ko04540 Gap junction
Smic13736 SmicGene13736	ko04020 Calcium signaling pathway;ko04010 MAPK signaling pathway
Smic38206 SmicGene38206	ko05020 Prion diseases;ko03060 Protein export
Smic3828 SmicGene3828	ko00310 Lysine degradation;ko00900 Terpenoid backbone biosynthesis;ko00071 Fatty acid metabolism;ko02020 Two-component system;ko00280 Valine, leucine and isoleucine degradation;ko00380 Tryptophan metabolism;ko00072 Synthesis and degradation of ketone bodies;ko00632 Benzoate degradation via CoA ligation;ko00620 Pyruvate metabolism;ko00640 Propanoate metabolism;ko00650 Butanoate metabolism
Smic23502 SmicGene23502	ko00450 Selenoamino acid metabolism;ko00626 Naphthalene and anthracene degradation;ko00350 Tyrosine metabolism;ko00340 Histidine metabolism
Smic31996 SmicGene31996	ko03022 Basal transcription factors;ko03420 Nucleotide excision repair
Smic27570 SmicGene27570	ko03410 Base excision repair
Smic25274 SmicGene25274	ko03430 Mismatch repair
Smic24339 SmicGene24339	ko00260 Glycine, serine and threonine metabolism
Smic21811 SmicGene21811	ko00600 Sphingolipid metabolism
Smic2474 SmicGene2474	ko00280 Valine, leucine and isoleucine degradation;ko04146 Peroxisome;ko00362 Benzoate degradation via hydroxylation;ko03320 PPAR signaling pathway;ko00071 Fatty acid metabolism;ko01040 Biosynthesis of unsaturated fatty acids
Smic42655 SmicGene42655	ko00430 Taurine and hypotaurine metabolism
Smic24488 SmicGene24488	ko00830 Retinol metabolism;ko00980 Metabolism of xenobiotics by cytochrome P450;ko00641 3-Chloroacrylic acid degradation;ko00010 Glycolysis / Gluconeogenesis;ko00624 1- and 2-Methylnaphthalene degradation;ko00982 Drug metabolism - cytochrome P450;ko00350 Tyrosine metabolism;ko00071 Fatty acid metabolism
Smic10045 SmicGene10045	ko00511 Other glycan degradation;ko00600 Sphingolipid metabolism;ko04142 Lysosome
Smic48944 SmicGene48944	ko02020 Two-component system
Smic13325 SmicGene13325	ko04115 p53 signaling pathway;ko04110 Cell cycle;ko04111 Cell cycle - yeast
Smic19156 SmicGene19156	ko00450 Selenoamino acid metabolism;ko00626 Naphthalene and anthracene degradation;ko00350 Tyrosine metabolism;ko00340 Histidine metabolism
Smic38663 SmicGene38663	ko00230 Purine metabolism;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00240 Pyrimidine metabolism;ko00760 Nicotinate and nicotinamide metabolism
Smic24408 SmicGene24408	ko03430 Mismatch repair;ko03030 DNA replication;ko03440 Homologous recombination;ko03420 Nucleotide excision repair
Smic21325 SmicGene21325	ko00260 Glycine, serine and threonine metabolism
Smic32960 SmicGene32960	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko00720 Reductive carboxylate cycle (CO2 fixation);ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko00630 Glyoxylate and dicarboxylate metabolism;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic35889 SmicGene35889	ko04626 Plant-pathogen interaction
Smic24332 SmicGene24332	ko00604 Glycosphingolipid biosynthesis - ganglio series;ko00531 Glycosaminoglycan degradation;ko00511 Other glycan degradation;ko04142 Lysosome;ko00603 Glycosphingolipid biosynthesis - globo series;ko00520 Amino sugar and nucleotide sugar metabolism
Smic8621 SmicGene8621	ko00330 Arginine and proline metabolism;ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
Smic5209 SmicGene5209	ko03040 Spliceosome;ko05322 Systemic lupus erythematosus
Smic11233 SmicGene11233	ko00190 Oxidative phosphorylation;ko00195 Photosynthesis
Smic3864 SmicGene3864	ko00628 Fluorene degradation;ko00641 3-Chloroacrylic acid degradation;ko00230 Purine metabolism;ko00351 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation;ko00624 1- and 2-Methylnaphthalene degradation;ko00362 Benzoate degradation via hydroxylation;ko00350 Tyrosine metabolism;ko00620 Pyruvate metabolism
Smic26623 SmicGene26623	ko00230 Purine metabolism
Smic41176 SmicGene41176	ko01053 Biosynthesis of siderophore group nonribosomal peptides
Smic40804 SmicGene40804	ko05120 Epithelial cell signaling in Helicobacter pylori infection;ko00190 Oxidative phosphorylation;ko05110 Vibrio cholerae infection
Smic31209 SmicGene31209	ko05120 Epithelial cell signaling in Helicobacter pylori infection;ko00190 Oxidative phosphorylation;ko05110 Vibrio cholerae infection
Smic21147 SmicGene21147	ko00790 Folate biosynthesis;ko00361 gamma-Hexachlorocyclohexane degradation;ko02020 Two-component system
Smic20359 SmicGene20359	ko04626 Plant-pathogen interaction
Smic6717 SmicGene6717	ko03040 Spliceosome
Smic32359 SmicGene32359	ko00270 Cysteine and methionine metabolism;ko00920 Sulfur metabolism
Smic10474 SmicGene10474	ko00930 Caprolactam degradation;ko00010 Glycolysis / Gluconeogenesis;ko00561 Glycerolipid metabolism
Smic26102 SmicGene26102	ko05110 Vibrio cholerae infection;ko03060 Protein export
Smic5305 SmicGene5305	ko00514 O-Mannosyl glycan biosynthesis
Smic9979 SmicGene9979	ko00190 Oxidative phosphorylation;ko00195 Photosynthesis
Smic7478 SmicGene7478	ko00230 Purine metabolism;ko04113 Meiosis - yeast
Smic1871 SmicGene1871	ko00450 Selenoamino acid metabolism;ko00626 Naphthalene and anthracene degradation;ko00350 Tyrosine metabolism;ko00340 Histidine metabolism
Smic41437 SmicGene41437	ko04070 Phosphatidylinositol signaling system;ko04810 Regulation of actin cytoskeleton;ko04144 Endocytosis;ko04666 Fc gamma R-mediated phagocytosis;ko00562 Inositol phosphate metabolism
Smic18068 SmicGene18068	ko04612 Antigen processing and presentation
Smic9700 SmicGene9700	ko00500 Starch and sucrose metabolism
Smic13228 SmicGene13228	ko03010 Ribosome
Smic39426 SmicGene39426	ko00910 Nitrogen metabolism
Smic14207 SmicGene14207	ko03018 RNA degradation
Smic40164 SmicGene40164	ko05130 Pathogenic Escherichia coli infection;ko04540 Gap junction
Smic9597 SmicGene9597	ko05200 Pathways in cancer;ko05219 Bladder cancer
Smic38594 SmicGene38594	ko00760 Nicotinate and nicotinamide metabolism
Smic4416 SmicGene4416	ko03010 Ribosome
Smic2860 SmicGene2860	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko00710 Carbon fixation in photosynthetic organisms;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko00720 Reductive carboxylate cycle (CO2 fixation);ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko00620 Pyruvate metabolism;ko01062 Biosynthesis of terpenoids and steroids;ko00630 Glyoxylate and dicarboxylate metabolism;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic24935 SmicGene24935	ko00740 Riboflavin metabolism;ko00361 gamma-Hexachlorocyclohexane degradation
Smic36047 SmicGene36047	ko00500 Starch and sucrose metabolism
Smic626 SmicGene626	ko00230 Purine metabolism
Smic30625 SmicGene30625	ko00330 Arginine and proline metabolism
Smic7696 SmicGene7696	ko00330 Arginine and proline metabolism;ko00260 Glycine, serine and threonine metabolism
Smic43011 SmicGene43011	ko03410 Base excision repair
Smic39028 SmicGene39028	ko00310 Lysine degradation;ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko00300 Lysine biosynthesis
Smic18142 SmicGene18142	ko03018 RNA degradation
Smic9992 SmicGene9992	ko03070 Bacterial secretion system;ko03060 Protein export
Smic24953 SmicGene24953	ko00051 Fructose and mannose metabolism;ko00010 Glycolysis / Gluconeogenesis;ko00710 Carbon fixation in photosynthetic organisms;ko00562 Inositol phosphate metabolism
Smic22264 SmicGene22264	ko00830 Retinol metabolism;ko00500 Starch and sucrose metabolism;ko00983 Drug metabolism - other enzymes;ko00053 Ascorbate and aldarate metabolism;ko00040 Pentose and glucuronate interconversions;ko00860 Porphyrin and chlorophyll metabolism;ko00980 Metabolism of xenobiotics by cytochrome P450;ko00982 Drug metabolism - cytochrome P450;ko00140 Steroid hormone biosynthesis
Smic27345 SmicGene27345	ko00250 Alanine, aspartate and glutamate metabolism;ko00330 Arginine and proline metabolism
Smic28876 SmicGene28876	ko04115 p53 signaling pathway;ko04110 Cell cycle;ko04111 Cell cycle - yeast
Smic29097 SmicGene29097	ko04711 Circadian rhythm - fly;ko04340 Hedgehog signaling pathway
Smic36131 SmicGene36131	ko05016 Huntington's disease
Smic9111 SmicGene9111	ko00500 Starch and sucrose metabolism
Smic41878 SmicGene41878	ko03010 Ribosome
Smic31156 SmicGene31156	ko03410 Base excision repair;ko00230 Purine metabolism;ko03430 Mismatch repair;ko03030 DNA replication;ko03440 Homologous recombination;ko00240 Pyrimidine metabolism;ko03420 Nucleotide excision repair
Smic6046 SmicGene6046	ko03030 DNA replication
Smic31381 SmicGene31381	ko00590 Arachidonic acid metabolism;ko00450 Selenoamino acid metabolism;ko00430 Taurine and hypotaurine metabolism;ko00480 Glutathione metabolism;ko00460 Cyanoamino acid metabolism
Smic27660 SmicGene27660	ko03010 Ribosome
Smic16392 SmicGene16392	ko05216 Thyroid cancer;ko04912 GnRH signaling pathway;ko04722 Neurotrophin signaling pathway;ko04810 Regulation of actin cytoskeleton;ko04650 Natural killer cell mediated cytotoxicity;ko05219 Bladder cancer;ko04320 Dorso-ventral axis formation;ko04666 Fc gamma R-mediated phagocytosis;ko05212 Pancreatic cancer;ko04270 Vascular smooth muscle contraction;ko05200 Pathways in cancer;ko04620 Toll-like receptor signaling pathway;ko04730 Long-term depression;ko04914 Progesterone-mediated oocyte maturation;ko05210 Colorectal cancer;ko05220 Chronic myeloid leukemia;ko05214 Glioma;ko05223 Non-small cell lung cancer;ko04916 Melanogenesis;ko04062 Chemokine signaling pathway;ko04510 Focal adhesion;ko04626 Plant-pathogen interaction;ko04370 VEGF signaling pathway;ko04540 Gap junction;ko04013 MAPK signaling pathway - fly;ko05215 Prostate cancer;ko04114 Oocyte meiosis;ko05020 Prion diseases;ko05211 Renal cell carcinoma;ko04720 Long-term potentiation;ko04660 T cell receptor signaling pathway;ko05218 Melanoma;ko04664 Fc epsilon RI signaling pathway;ko05213 Endometrial cancer;ko04662 B cell receptor signaling pathway;ko05221 Acute myeloid leukemia;ko04012 ErbB signaling pathway;ko04910 Insulin signaling pathway;ko04010 MAPK signaling pathway
Smic14232 SmicGene14232	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00010 Glycolysis / Gluconeogenesis;ko05010 Alzheimer's disease;ko01061 Biosynthesis of phenylpropanoids;ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic11581 SmicGene11581	ko04114 Oocyte meiosis;ko04730 Long-term depression;ko04113 Meiosis - yeast;ko04530 Tight junction;ko04350 TGF-beta signaling pathway;ko04310 Wnt signaling pathway;ko04111 Cell cycle - yeast
Smic31409 SmicGene31409	ko00906 Carotenoid biosynthesis
Smic4123 SmicGene4123	ko00280 Valine, leucine and isoleucine degradation;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko00770 Pantothenate and CoA biosynthesis;ko00290 Valine, leucine and isoleucine biosynthesis
Smic7445 SmicGene7445	ko00500 Starch and sucrose metabolism;ko04910 Insulin signaling pathway
Smic24983 SmicGene24983	ko00030 Pentose phosphate pathway;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00480 Glutathione metabolism;ko01070 Biosynthesis of plant hormones
Smic32048 SmicGene32048	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko00720 Reductive carboxylate cycle (CO2 fixation);ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic21347 SmicGene21347	ko00450 Selenoamino acid metabolism;ko00626 Naphthalene and anthracene degradation;ko00350 Tyrosine metabolism;ko00340 Histidine metabolism
Smic14239 SmicGene14239	ko03040 Spliceosome
Smic24128 SmicGene24128	ko00970 Aminoacyl-tRNA biosynthesis
Smic26796 SmicGene26796	ko03320 PPAR signaling pathway
Smic29640 SmicGene29640	ko00071 Fatty acid metabolism;ko00360 Phenylalanine metabolism
Smic29797 SmicGene29797	ko03040 Spliceosome;ko03018 RNA degradation
Smic34526 SmicGene34526	ko00450 Selenoamino acid metabolism;ko00626 Naphthalene and anthracene degradation;ko00350 Tyrosine metabolism;ko00340 Histidine metabolism
Smic39377 SmicGene39377	ko00564 Glycerophospholipid metabolism;ko00903 Limonene and pinene degradation;ko00642 Ethylbenzene degradation;ko00632 Benzoate degradation via CoA ligation;ko00624 1- and 2-Methylnaphthalene degradation;ko00350 Tyrosine metabolism;ko00360 Phenylalanine metabolism
Smic37710 SmicGene37710	ko04114 Oocyte meiosis;ko04730 Long-term depression;ko04113 Meiosis - yeast;ko04530 Tight junction;ko04350 TGF-beta signaling pathway;ko04310 Wnt signaling pathway;ko04111 Cell cycle - yeast
Smic39690 SmicGene39690	ko01070 Biosynthesis of plant hormones;ko00900 Terpenoid backbone biosynthesis;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic9496 SmicGene9496	ko04142 Lysosome;ko04614 Renin-angiotensin system
Smic36031 SmicGene36031	ko00500 Starch and sucrose metabolism
Smic29444 SmicGene29444	ko03040 Spliceosome
Smic25124 SmicGene25124	ko05130 Pathogenic Escherichia coli infection;ko04540 Gap junction
Smic12933 SmicGene12933	ko00500 Starch and sucrose metabolism;ko00052 Galactose metabolism;ko00040 Pentose and glucuronate interconversions;ko00520 Amino sugar and nucleotide sugar metabolism
Smic41145 SmicGene41145	ko00270 Cysteine and methionine metabolism;ko00260 Glycine, serine and threonine metabolism;ko00300 Lysine biosynthesis
Smic13598 SmicGene13598	ko00450 Selenoamino acid metabolism;ko00970 Aminoacyl-tRNA biosynthesis
Smic1478 SmicGene1478	ko02010 ABC transporters
Smic38935 SmicGene38935	ko04622 RIG-I-like receptor signaling pathway
Smic7324 SmicGene7324	ko00380 Tryptophan metabolism
Smic22853 SmicGene22853	ko00500 Starch and sucrose metabolism
Smic32176 SmicGene32176	ko00500 Starch and sucrose metabolism;ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko00521 Streptomycin biosynthesis;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko00010 Glycolysis / Gluconeogenesis;ko01061 Biosynthesis of phenylpropanoids;ko00052 Galactose metabolism;ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide;ko00520 Amino sugar and nucleotide sugar metabolism
Smic12 SmicGene12	ko00510 N-Glycan biosynthesis
Smic23498 SmicGene23498	ko00380 Tryptophan metabolism
Smic14956 SmicGene14956	ko00942 Anthocyanin biosynthesis
Smic5734 SmicGene5734	ko00230 Purine metabolism
Smic34872 SmicGene34872	ko03410 Base excision repair;ko03430 Mismatch repair;ko03030 DNA replication;ko04110 Cell cycle;ko03420 Nucleotide excision repair
Smic4681 SmicGene4681	ko00564 Glycerophospholipid metabolism
Smic14321 SmicGene14321	ko04612 Antigen processing and presentation;ko04142 Lysosome
Smic3432 SmicGene3432	ko03320 PPAR signaling pathway
Smic2858 SmicGene2858	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko00710 Carbon fixation in photosynthetic organisms;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko00720 Reductive carboxylate cycle (CO2 fixation);ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko00620 Pyruvate metabolism;ko01062 Biosynthesis of terpenoids and steroids;ko00630 Glyoxylate and dicarboxylate metabolism;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic204 SmicGene204	ko00604 Glycosphingolipid biosynthesis - ganglio series;ko00531 Glycosaminoglycan degradation;ko00511 Other glycan degradation;ko04142 Lysosome;ko00603 Glycosphingolipid biosynthesis - globo series;ko00520 Amino sugar and nucleotide sugar metabolism
Smic22590 SmicGene22590	ko00195 Photosynthesis
Smic19433 SmicGene19433	ko00290 Valine, leucine and isoleucine biosynthesis
Smic30423 SmicGene30423	ko03440 Homologous recombination
Smic3679 SmicGene3679	ko04530 Tight junction;ko04010 MAPK signaling pathway
Smic6129 SmicGene6129	ko01063 Biosynthesis of alkaloids derived from shikimate pathway;ko01070 Biosynthesis of plant hormones;ko00020 Citrate cycle (TCA cycle);ko04146 Peroxisome;ko01065 Biosynthesis of alkaloids derived from histidine and purine;ko01061 Biosynthesis of phenylpropanoids;ko00480 Glutathione metabolism;ko00720 Reductive carboxylate cycle (CO2 fixation);ko01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;ko01062 Biosynthesis of terpenoids and steroids;ko01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Smic20242 SmicGene20242	ko03010 Ribosome
Smic44008 SmicGene44008	ko04340 Hedgehog signaling pathway;ko04912 GnRH signaling pathway;ko04020 Calcium signaling pathway;ko04742 Taste transduction;ko04540 Gap junction;ko04270 Vascular smooth muscle contraction;ko04114 Oocyte meiosis;ko05020 Prion diseases;ko04914 Progesterone-mediated oocyte maturation;ko04720 Long-term potentiation;ko04740 Olfactory transduction;ko04916 Melanogenesis;ko04113 Meiosis - yeast;ko04062 Chemokine signaling pathway;ko05414 Dilated cardiomyopathy;ko05110 Vibrio cholerae infection;ko04310 Wnt signaling pathway;ko04910 Insulin signaling pathway;ko04010 MAPK signaling pathway;ko04210 Apoptosis
Smic6132 SmicGene6132	ko05200 Pathways in cancer;ko05219 Bladder cancer
Smic17474 SmicGene17474	ko05200 Pathways in cancer;ko05219 Bladder cancer
Smic34551 SmicGene34551	ko00561 Glycerolipid metabolism
Smic28458 SmicGene28458	ko03320 PPAR signaling pathway;ko01040 Biosynthesis of unsaturated fatty acids
Smic22134 SmicGene22134	ko00564 Glycerophospholipid metabolism
Smic43276 SmicGene43276	ko04626 Plant-pathogen interaction
Smic36012 SmicGene36012	ko02010 ABC transporters
Smic28864 SmicGene28864	ko04114 Oocyte meiosis;ko04730 Long-term depression;ko04113 Meiosis - yeast;ko04530 Tight junction;ko04350 TGF-beta signaling pathway;ko04310 Wnt signaling pathway;ko04111 Cell cycle - yeast
Smic29716 SmicGene29716	ko00906 Carotenoid biosynthesis;ko01070 Biosynthesis of plant hormones
Smic14386 SmicGene14386	ko04626 Plant-pathogen interaction
Smic31649 SmicGene31649	ko04340 Hedgehog signaling pathway;ko04114 Oocyte meiosis;ko04310 Wnt signaling pathway;ko04120 Ubiquitin mediated proteolysis
Smic12058 SmicGene12058	ko04070 Phosphatidylinositol signaling system;ko04810 Regulation of actin cytoskeleton;ko04144 Endocytosis;ko04666 Fc gamma R-mediated phagocytosis;ko00562 Inositol phosphate metabolism
Smic12489 SmicGene12489	ko04120 Ubiquitin mediated proteolysis
Smic17734 SmicGene17734	ko00361 gamma-Hexachlorocyclohexane degradation
Smic2017 SmicGene2017	ko03018 RNA degradation
Smic25771 SmicGene25771	ko00500 Starch and sucrose metabolism
Smic45622 SmicGene45622	ko04621 NOD-like receptor signaling pathway;ko05200 Pathways in cancer;ko04612 Antigen processing and presentation;ko05215 Prostate cancer;ko04914 Progesterone-mediated oocyte maturation;ko04626 Plant-pathogen interaction
Smic13018 SmicGene13018	ko05322 Systemic lupus erythematosus
Smic22662 SmicGene22662	ko05120 Epithelial cell signaling in Helicobacter pylori infection;ko00190 Oxidative phosphorylation;ko04142 Lysosome;ko05110 Vibrio cholerae infection
Smic38093 SmicGene38093	ko00250 Alanine, aspartate and glutamate metabolism;ko00230 Purine metabolism
